word;pair_eucl_dist_he_she;pair_eucl_dist_he_i;pair_eucl_dist_she_i;pair_eucl_dist_he_you;pair_eucl_dist_she_you;pair_eucl_dist_he_they;pair_eucl_dist_she_they;pair_eucl_dist_i_you;triple_eucl_dist_he_she_i;triple_eucl_dist_he_she_you;triple_eucl_dist_he_she_they;triple_eucl_dist_i_you_they;eucl_center_dist_he_she_i;eucl_center_dist_he_she_you;eucl_center_dist_he_she_they;eucl_center_dist_i_you_they;eucl_center_dist_he_i_you_they;eucl_center_dist_she_i_you_they;eucl_center_dist_he_she_i_you_they;pair_cos_simil_he_she;pair_cos_simil_he_i;pair_cos_simil_she_i;pair_cos_simil_he_you;pair_cos_simil_she_you;pair_cos_simil_he_they;pair_cos_simil_she_they;pair_cos_simil_i_you;triple_cos_simil_he_she_i;triple_cos_simil_he_she_you;triple_cos_simil_he_she_they;triple_cos_simil_i_you_they;stat_bergsma;stat_bls
technician;1.8550507;3.4981275;2.873174;4.4683566;3.9526594;3.477514;2.9862325;3.0104895;8.226353;10.276067;8.318797;9.211348;4.7578697;6.0256934;4.8236265;5.317596;8.404548;7.756083;10.300924;0.9894015;0.9620254;0.97392476;0.9371255;0.94976914;0.9623413;0.9715009;0.9709545;0.92701024;0.8806197;0.92500675;0.91027963;9.42;40.34
accountant;2.0351996;3.2854817;2.7857854;4.244383;3.8359675;3.756081;3.3549716;2.9367604;8.106466;10.11555;9.146252;9.818325;4.683733;5.903104;5.3116093;5.66977;8.608989;8.08594;10.533473;0.98851585;0.9698455;0.97788745;0.9490226;0.9573409;0.9611479;0.96811676;0.9750303;0.9375081;0.89810437;0.9198173;0.9069361;9.26;59.7
supervisor;2.1835938;3.7783086;3.1464505;4.9083605;4.310093;3.8445408;3.5603268;2.8678138;9.108353;11.402047;9.588461;9.872146;5.2639246;6.6620846;5.568532;5.70144;9.138397;8.525194;11.36705;0.9851915;0.9550701;0.96870786;0.9228287;0.9403503;0.9539748;0.9605686;0.9730223;0.9114833;0.8549317;0.9027884;0.89359635;36.02;38.64
engineer;2.533074;3.746207;3.0923436;4.751316;4.2955384;4.1300254;3.6287992;3.2270088;9.371625;11.579928;10.291899;11.026211;5.4058104;6.7319927;5.955039;6.3631153;9.63661;8.987776;11.7909565;0.98358715;0.9637725;0.97492903;0.94101465;0.9509987;0.9557574;0.96526384;0.97181994;0.92418814;0.8802158;0.9074162;0.8911048;1.99;10.72
worker;2.332372;3.9117057;3.55402;4.827293;4.480308;3.610072;3.5109282;2.9733183;9.798098;11.639973;9.453372;10.424837;5.6791973;6.7997255;5.478037;6.019889;9.313438;8.981508;11.703805;0.98403066;0.9545907;0.9618698;0.92989707;0.93849915;0.96199816;0.9628639;0.9725192;0.903529;0.858771;0.9114814;0.88752604;13.43;37.92
educator;2.3325026;4.0574274;3.299191;4.9992123;4.3024774;3.9223378;3.4316657;2.8295767;9.689121;11.634192;9.686506;10.317334;5.5930977;6.775339;5.6072645;5.959013;9.518803;8.728153;11.690976;0.981499;0.94392747;0.96257126;0.91361547;0.9353426;0.94662476;0.9586625;0.9721207;0.8917875;0.83873355;0.89070415;0.87662905;42.32;70.8
clerk;2.298217;3.1068687;2.3903704;4.1905813;3.440117;3.6430724;2.9784632;2.7505176;7.795456;9.928915;8.919752;8.634294;4.490781;5.738741;5.145513;4.9850035;7.9678206;7.124509;9.707701;0.9847933;0.9716206;0.98199683;0.94792813;0.9621083;0.9617843;0.9719504;0.97588915;0.93961924;0.89814085;0.9205913;0.9206337;56.0;69.53
counselor;2.2109756;3.6215844;2.9548643;4.518725;4.0833354;3.9766145;3.931396;3.3503265;8.787424;10.813036;10.118986;11.466869;5.070104;6.305114;5.8913927;6.621386;9.627681;9.152061;11.670718;0.98596483;0.96234727;0.9750837;0.93932194;0.95119554;0.9531223;0.9548459;0.9675427;0.925199;0.8809387;0.89731175;0.8729174;46.45;66.48
inspector;2.0615888;4.6852593;3.920441;5.3708105;4.581886;3.6587923;3.061903;2.8102028;10.66729;12.014285;8.782284;9.859841;6.2111692;7.047928;5.078994;5.6931124;9.642147;8.78895;11.95981;0.9893204;0.9432515;0.95883435;0.9246889;0.94332266;0.96692985;0.9757599;0.9771685;0.89476305;0.86296433;0.9334153;0.9069672;2.35;6.4
mechanic;2.6827345;3.8440044;2.763304;4.5895715;3.8587852;3.7532907;3.0901694;3.1520329;9.290043;11.131091;9.526195;9.995702;5.339555;6.4346647;5.493972;5.7699823;9.042278;8.045025;10.930689;0.98248684;0.9636169;0.98021466;0.9478827;0.9610653;0.9660394;0.97539395;0.9732066;0.92800933;0.8950231;0.9257669;0.91099745;0.89;1.8
manager;3.7587557;5.084579;3.6393127;5.160936;4.203511;4.7179117;3.498443;2.8902175;12.482647;13.123203;11.97511;9.895432;7.182489;7.5669456;6.9027214;5.711463;10.156219;8.675316;12.667299;0.9561373;0.91846204;0.95540196;0.9155842;0.9397021;0.93018603;0.9583953;0.97106415;0.8390109;0.822638;0.85238296;0.8877879;5.18;38.51
therapist;1.7642913;3.6369138;3.2964857;4.341794;4.1374817;3.8347769;3.8376138;3.1660366;8.697691;10.2435665;9.436682;10.887001;5.0741525;6.040935;5.5397444;6.2865963;9.2691765;9.040297;11.424581;0.9916339;0.96376693;0.9706578;0.94694066;0.9530161;0.95864946;0.95980877;0.9723113;0.9276615;0.8948997;0.9124223;0.8905811;61.86;76.7
administrator;2.0755858;3.6446824;3.0712516;4.4579253;3.9829097;3.7607598;3.4689534;2.8860695;8.791519;10.51642;9.3053;8.991904;5.085116;6.1402016;5.4080744;5.191451;8.495368;7.9565034;10.692566;0.9830226;0.94746554;0.9624158;0.9205099;0.9360401;0.9429709;0.9510494;0.9663321;0.8963748;0.84700584;0.8815863;0.89341396;10.9;54.86
salesperson;1.741476;2.549272;2.2430935;3.436221;3.143536;2.7501771;2.753378;2.3935292;6.5338416;8.321233;7.2450314;8.560111;3.77476;4.8486614;4.2022095;4.9418383;7.0647936;6.811564;8.614471;0.9882045;0.97481877;0.98061186;0.9542234;0.9619364;0.9699289;0.9704864;0.9780095;0.9446433;0.9070751;0.9301997;0.9066018;35.79;48.08
receptionist;1.821552;2.8950326;2.6263433;3.9371731;3.7831247;3.081526;3.099805;3.0962472;7.342928;9.54185;8.002883;9.356495;4.25088;5.592926;4.6512413;5.401759;7.856886;7.6942415;9.726291;0.9897;0.9735702;0.9785154;0.9500778;0.955178;0.9698044;0.9702143;0.9697289;0.9428412;0.8981462;0.9312267;0.906421;67.22;90.6
librarian;1.9008601;3.1723409;2.6411722;4.1833997;3.7075455;3.8072667;3.4185674;2.7625663;7.714373;9.791805;9.126694;9.694644;4.455878;5.7198744;5.3160067;5.600122;8.501818;7.9431186;10.344023;0.9896623;0.97128934;0.980019;0.949223;0.95990837;0.95796597;0.96607435;0.9779722;0.9420417;0.9017477;0.91589916;0.9096121;85.58;83.0
advisor;1.9900111;3.8999906;3.1401594;4.439139;3.8084545;3.9679046;3.4346616;2.6564407;9.030161;10.237604;9.392577;8.766173;5.2193727;5.969448;5.458602;5.0605164;8.586655;7.8038397;10.711376;0.9851357;0.9429912;0.9626151;0.92460144;0.9436794;0.9395161;0.9539494;0.97302055;0.8942446;0.85955775;0.88292867;0.9024402;13.37;37.9
pharmacist;1.6940469;2.3502543;2.0665674;2.8552294;2.6910021;2.3536553;2.2928526;1.9006844;6.1108685;7.2402782;6.3405547;7.147357;3.528665;4.201799;3.666881;4.1336336;6.0276475;5.8133025;7.451721;0.99161667;0.98390335;0.9875481;0.9764734;0.97909963;0.9837166;0.98453474;0.9896029;0.9635062;0.9480497;0.9603839;0.9503589;11.53;57.0
janitor;1.5837017;2.5583973;2.3201466;3.3722959;3.2659876;2.5370774;2.5928748;2.347914;6.4622455;8.221985;6.713654;8.001629;3.7422614;4.817348;3.8963785;4.617688;6.7276635;6.6007895;8.345572;0.99263686;0.9808189;0.98420733;0.9664208;0.96845937;0.9812278;0.9802742;0.9837544;0.9582213;0.9290478;0.95478994;0.9372504;4.2;34.3
psychologist;1.9768311;3.7114727;3.278532;4.317424;3.9921947;4.0741825;3.7358081;2.9799001;8.966836;10.286449;9.786821;10.753067;5.2073407;6.0218573;5.712872;6.214093;9.33326;8.888859;11.434084;0.98783296;0.9569502;0.96626735;0.9407233;0.94909024;0.94713116;0.9554734;0.9716187;0.91341925;0.8819682;0.89394796;0.8767095;33.15;70.3
physician;2.1927078;3.8200116;3.084762;4.4390416;3.9152625;4.0349145;3.4793305;3.1619895;9.097481;10.547012;9.706953;10.26884;5.249695;6.139554;5.6270914;5.9284906;9.200054;8.467911;11.204687;0.98587245;0.9567413;0.97107875;0.94069153;0.9522559;0.95153457;0.96245927;0.96925366;0.91594565;0.8831239;0.90287507;0.89264613;8.41;37.9
carpenter;1.6863312;2.9738798;2.6956306;3.951008;3.6573203;3.0554907;3.0168457;2.8333688;7.3558416;9.29466;7.758668;9.6662655;4.2688446;5.4594097;4.5182543;5.575556;8.017823;7.762307;9.761484;0.9919903;0.97479486;0.97878784;0.9550683;0.9603932;0.97365934;0.9732602;0.9761152;0.94647515;0.9098943;0.94003373;0.90684885;11.99;2.07
nurse;2.28744;3.4249678;3.044728;4.151044;3.9373624;3.9027703;4.169044;2.8139508;8.757135;10.375847;10.359254;10.7287245;5.0618305;6.0363035;6.0249324;6.2073975;9.083966;8.929218;11.340369;0.98381674;0.9635989;0.97118264;0.9454899;0.95088655;0.9518277;0.9447527;0.97499156;0.9206857;0.884504;0.8846891;0.87783706;88.31;89.58
