word	pair_eucl_dist_he_she	pair_eucl_dist_he_i	pair_eucl_dist_she_i	pair_eucl_dist_he_you	pair_eucl_dist_she_you	pair_eucl_dist_he_they	pair_eucl_dist_she_they	pair_eucl_dist_i_you	triple_eucl_dist_he_she_i	triple_eucl_dist_he_she_you	triple_eucl_dist_he_she_they	triple_eucl_dist_i_you_they	eucl_center_dist_he_she_i	eucl_center_dist_he_she_you	eucl_center_dist_he_she_they	eucl_center_dist_i_you_they	eucl_center_dist_he_i_you_they	eucl_center_dist_she_i_you_they	eucl_center_dist_he_she_i_you_they	pair_cos_simil_he_she	pair_cos_simil_he_i	pair_cos_simil_she_i	pair_cos_simil_he_you	pair_cos_simil_she_you	pair_cos_simil_he_they	pair_cos_simil_she_they	pair_cos_simil_i_you	triple_cos_simil_he_she_i	triple_cos_simil_he_she_you	triple_cos_simil_he_she_they	triple_cos_simil_i_you_they	stat_bergsma	stat_bls
technician	1.8550506830215454	3.4981274604797363	2.873173952102661	4.468356609344482	3.9526593685150146	3.4775140285491943	2.9862325191497803	3.0104894638061523	8.22635269165039	10.276066780090332	8.31879711151123	9.211347579956055	4.757869720458984	6.025693416595459	4.823626518249512	5.317595958709717	8.404547691345215	7.756083011627197	10.300924301147461	0.9894015192985535	0.9620254039764404	0.9739247560501099	0.9371255040168762	0.949769139289856	0.96234130859375	0.9715008735656738	0.9709544777870178	0.9270102381706238	0.8806197047233582	0.9250067472457886	0.9102796316146851	9.42	40.34
accountant	2.0351996421813965	3.2854816913604736	2.785785436630249	4.244382858276367	3.835967540740967	3.7560811042785645	3.3549716472625732	2.936760425567627	8.106466293334961	10.11555004119873	9.146251678466797	9.81832504272461	4.683732986450195	5.903103828430176	5.311609268188477	5.669769763946533	8.608988761901855	8.08594036102295	10.533473014831543	0.9885158538818359	0.9698454737663269	0.9778874516487122	0.9490225911140442	0.9573408961296082	0.9611479043960571	0.9681167602539062	0.9750303030014038	0.9375081062316895	0.8981043696403503	0.919817328453064	0.9069361090660095	9.26	59.7
supervisor	2.18359375	3.778308629989624	3.1464505195617676	4.908360481262207	4.310092926025391	3.84454083442688	3.5603268146514893	2.8678138256073	9.108352661132812	11.402047157287598	9.588460922241211	9.872145652770996	5.263924598693848	6.662084579467773	5.5685319900512695	5.70143985748291	9.138397216796875	8.52519416809082	11.367050170898438	0.9851915240287781	0.9550700783729553	0.9687078595161438	0.9228286743164062	0.9403502941131592	0.9539747834205627	0.9605686068534851	0.9730222821235657	0.9114832878112793	0.8549317121505737	0.9027884006500244	0.893596351146698	36.02	38.64
engineer	2.533073902130127	3.7462069988250732	3.09234356880188	4.751316070556641	4.295538425445557	4.130025386810303	3.6287992000579834	3.227008819580078	9.371624946594238	11.579928398132324	10.291898727416992	11.02621078491211	5.405810356140137	6.731992721557617	5.955039024353027	6.363115310668945	9.63661003112793	8.987775802612305	11.790956497192383	0.9835871458053589	0.9637724757194519	0.9749290347099304	0.9410146474838257	0.9509987235069275	0.9557573795318604	0.965263843536377	0.9718199372291565	0.9241881370544434	0.8802158236503601	0.9074162244796753	0.8911048173904419	1.99	10.72
worker	2.332371950149536	3.911705732345581	3.5540199279785156	4.8272929191589355	4.4803080558776855	3.610071897506714	3.510928153991699	2.973318338394165	9.798097610473633	11.639972686767578	9.45337200164795	10.424837112426758	5.679197311401367	6.799725532531738	5.478036880493164	6.019888877868652	9.313438415527344	8.981508255004883	11.703804969787598	0.9840306639671326	0.9545906782150269	0.9618697762489319	0.9298970699310303	0.9384991526603699	0.9619981646537781	0.9628639221191406	0.9725192189216614	0.9035289883613586	0.858771026134491	0.9114813804626465	0.8875260353088379	13.43	37.92
educator	2.332502603530884	4.057427406311035	3.2991909980773926	4.999212265014648	4.3024773597717285	3.922337770462036	3.4316656589508057	2.8295767307281494	9.68912124633789	11.63419246673584	9.686506271362305	10.317334175109863	5.593097686767578	6.775339126586914	5.607264518737793	5.959012985229492	9.518802642822266	8.728153228759766	11.6909761428833	0.9814990162849426	0.9439274668693542	0.9625712633132935	0.9136154651641846	0.9353426098823547	0.946624755859375	0.9586625099182129	0.9721207022666931	0.8917875289916992	0.8387335538864136	0.8907041549682617	0.8766290545463562	42.32	70.8
clerk	2.2982170581817627	3.1068687438964844	2.3903703689575195	4.190581321716309	3.4401168823242188	3.6430723667144775	2.9784631729125977	2.7505176067352295	7.7954559326171875	9.928915023803711	8.91975212097168	8.634293556213379	4.490780830383301	5.738740921020508	5.14551305770874	4.985003471374512	7.967820644378662	7.124508857727051	9.707700729370117	0.9847933053970337	0.9716206192970276	0.9819968342781067	0.9479281306266785	0.962108314037323	0.961784303188324	0.9719504117965698	0.9758891463279724	0.939619243144989	0.8981408476829529	0.9205912947654724	0.9206336736679077	56.0	69.53
counselor	2.2109756469726562	3.621584415435791	2.954864263534546	4.5187249183654785	4.0833353996276855	3.976614475250244	3.931396007537842	3.3503265380859375	8.787424087524414	10.81303596496582	10.118986129760742	11.466869354248047	5.070104122161865	6.305113792419434	5.891392707824707	6.6213860511779785	9.627680778503418	9.152061462402344	11.6707181930542	0.985964834690094	0.9623472690582275	0.9750837087631226	0.9393219351768494	0.9511955380439758	0.9531223177909851	0.9548459053039551	0.9675427079200745	0.9251989722251892	0.880938708782196	0.8973117470741272	0.8729174137115479	46.45	66.48
inspector	2.061588764190674	4.6852593421936035	3.920440912246704	5.370810508728027	4.581885814666748	3.65879225730896	3.0619029998779297	2.8102028369903564	10.667289733886719	12.01428508758545	8.782283782958984	9.859841346740723	6.211169242858887	7.0479278564453125	5.078993797302246	5.693112373352051	9.642147064208984	8.788949966430664	11.959810256958008	0.9893203973770142	0.9432514905929565	0.9588343501091003	0.9246888756752014	0.9433226585388184	0.9669298529624939	0.9757599234580994	0.9771685004234314	0.8947630524635315	0.8629643321037292	0.9334152936935425	0.9069672226905823	2.35	6.4
mechanic	2.682734489440918	3.8440043926239014	2.7633039951324463	4.589571475982666	3.8587851524353027	3.7532906532287598	3.0901694297790527	3.1520328521728516	9.290042877197266	11.131091117858887	9.52619457244873	9.995701789855957	5.339554786682129	6.434664726257324	5.493971824645996	5.76998233795166	9.042278289794922	8.045024871826172	10.930688858032227	0.9824868440628052	0.9636169075965881	0.9802146553993225	0.9478827118873596	0.9610652923583984	0.9660394191741943	0.9753939509391785	0.9732065796852112	0.9280093312263489	0.8950231075286865	0.9257668852806091	0.9109974503517151	0.89	1.8
manager	3.758755683898926	5.084578990936279	3.639312744140625	5.160935878753662	4.2035112380981445	4.717911720275879	3.4984428882598877	2.8902175426483154	12.482646942138672	13.12320327758789	11.975110054016113	9.895432472229004	7.182488918304443	7.566945552825928	6.902721405029297	5.71146297454834	10.156218528747559	8.675315856933594	12.667299270629883	0.9561372995376587	0.9184620380401611	0.9554019570350647	0.9155842065811157	0.9397020936012268	0.9301860332489014	0.9583953022956848	0.9710641503334045	0.8390108942985535	0.8226379752159119	0.8523829579353333	0.8877878785133362	5.18	38.51
therapist	1.7642912864685059	3.636913776397705	3.296485662460327	4.341794013977051	4.137481689453125	3.8347768783569336	3.837613821029663	3.166036605834961	8.697690963745117	10.243566513061523	9.436681747436523	10.887001037597656	5.07415246963501	6.040935039520264	5.5397443771362305	6.286596298217773	9.269176483154297	9.04029655456543	11.424580574035645	0.9916338920593262	0.9637669324874878	0.9706578254699707	0.9469406604766846	0.9530161023139954	0.9586494565010071	0.9598087668418884	0.9723113179206848	0.9276614785194397	0.8948997259140015	0.9124222993850708	0.8905810713768005	61.86	76.7
