id, layer-00, rank-00, layer-01, rank-01, layer-02, rank-02, layer-03, rank-03, layer-04, rank-04, layer-05, rank-05, layer-06, rank-06, layer-07, rank-07, layer-08, rank-08, layer-09, rank-09, layer-10, rank-10, layer-11, rank-11, layer-12, rank-12
0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
1, 0.12254901960784313, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 505.0, 504.0, 504.0, 503.0, 506.0, 504.0, 504.0, 504.0, 504.0, 506.0, 505.0, 504.0, 506.0
2, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 506.0, 505.0, 505.0, 504.0, 507.0, 505.0, 505.0, 505.0, 505.0, 507.0, 506.0, 505.0, 507.0
3, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 507.0, 506.0, 506.0, 505.0, 508.0, 506.0, 506.0, 506.0, 506.0, 508.0, 507.0, 507.0, 508.0
4, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 508.0, 507.0, 507.0, 506.0, 509.0, 507.0, 507.0, 507.0, 507.0, 509.0, 508.0, 508.0, 509.0
5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 509.0, 508.0, 508.0, 507.0, 510.0, 508.0, 508.0, 508.0, 508.0, 510.0, 509.0, 509.0, 510.0
6, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 510.0, 509.0, 509.0, 509.0, 511.0, 509.0, 509.0, 509.0, 509.0, 511.0, 510.0, 510.0, 511.0
7, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 512.0, 510.0, 510.0, 510.0, 512.0, 510.0, 510.0, 510.0, 510.0, 512.0, 511.0, 511.0, 512.0
8, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 513.0, 511.0, 511.0, 511.0, 513.0, 511.0, 511.0, 511.0, 511.0, 513.0, 512.0, 512.0, 513.0
9, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 514.0, 512.0, 512.0, 512.0, 514.0, 512.0, 512.0, 512.0, 512.0, 514.0, 513.0, 513.0, 514.0
10, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 515.0, 513.0, 513.0, 513.0, 515.0, 513.0, 513.0, 513.0, 513.0, 515.0, 514.0, 514.0, 515.0
11, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 516.0, 514.0, 514.0, 514.0, 516.0, 514.0, 514.0, 514.0, 514.0, 516.0, 515.0, 515.0, 516.0
12, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 517.0, 515.0, 515.0, 515.0, 517.0, 515.0, 515.0, 515.0, 515.0, 517.0, 516.0, 516.0, 517.0
13, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 518.0, 516.0, 516.0, 516.0, 518.0, 516.0, 516.0, 516.0, 516.0, 518.0, 517.0, 517.0, 518.0
14, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 519.0, 517.0, 517.0, 517.0, 519.0, 517.0, 517.0, 517.0, 517.0, 519.0, 518.0, 518.0, 519.0
15, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 520.0, 518.0, 518.0, 518.0, 520.0, 518.0, 518.0, 518.0, 518.0, 520.0, 519.0, 519.0, 520.0
16, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 521.0, 519.0, 519.0, 519.0, 521.0, 519.0, 519.0, 519.0, 519.0, 521.0, 520.0, 520.0, 521.0
17, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 522.0, 520.0, 520.0, 520.0, 522.0, 520.0, 520.0, 520.0, 520.0, 522.0, 521.0, 521.0, 522.0
18, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 523.0, 521.0, 521.0, 521.0, 523.0, 521.0, 521.0, 521.0, 521.0, 523.0, 522.0, 522.0, 523.0
