word	pred_gender_00	pred_gender_01	pred_gender_02	pred_gender_03	pred_gender_04	pred_gender_05	pred_gender_06	pred_gender_07	pred_gender_08	pred_gender_09	pred_gender_10	pred_gender_11	pred_gender_12	proj_gender_00	proj_gender_01	proj_gender_02	proj_gender_03	proj_gender_04	proj_gender_05	proj_gender_06	proj_gender_07	proj_gender_08	proj_gender_09	proj_gender_10	proj_gender_11	proj_gender_12
abstracter	1	1	1	1	1	1	1	1	1	1	1	1	1	-0.35820646675163204	-0.4049339264319509	-0.3555273816073832	-0.37784845129633576	-0.47244282153981426	-0.38404184020413	-0.4252008727214138	-0.5365020074273145	-0.5920065877687952	-0.7024544677780807	-0.674452661564271	-0.444849504535716	-0.4282245093814925
abstractor	1	1	1	1	1	1	1	1	1	1	1	1	1	-0.42455982412041116	-0.5790847571649531	-0.5095907504864937	-0.49927696861366866	-0.5095154923622837	-0.4592293297801442	-0.4396113441465672	-0.48515211920793144	-0.5411804986536817	-0.6092615473194627	-0.45217320488919216	-0.5074497161752445	-0.423982160165953
accessioner	1	1	1	1	1	1	1	1	1	1	1	1	1	-0.04866291266047518	-0.1527249582490923	-0.21698809711746417	-0.2942563490093285	-0.3466266817542747	-0.3302024427088512	-0.45309449556165526	-0.5782150095686871	-0.6754185777018867	-0.7222776869010638	-0.7470890703145419	-0.8429088350082793	-0.5341001669657907
accountant	1	1	1	1	1	1	1	1	1	1	1	2	2	-0.22270887891736965	-0.3506273507374766	-0.3187635762998603	-0.2459597925456152	-0.16307506815789513	-0.0028444714576485453	-0.20677444426722352	-0.19635785562356012	-0.3136028336142052	-0.17973043612634906	0.0005993911526655238	0.11214688103083796	0.12873635542388612
acidizer	1	1	1	2	1	1	1	1	1	1	1	1	1	-0.36358807378494806	-0.1926065449036064	-0.12651845731247463	0.027381519934668974	-0.09595750467411869	-0.24699882748010205	-0.29091499364434376	-0.28112982957376326	-0.282105253236555	-0.22952589288316555	-0.19489474654877348	-0.010684162877127569	-0.23489649137848725
actuary	1	1	1	1	1	1	1	1	1	1	1	1	1	-0.07611063745436045	-0.09655256070379983	-0.11393516445294061	-0.06154499419236267	-0.2153422115306622	-0.015256897566977165	-0.16584113414655405	-0.3265551105058413	-0.30836664619701826	-0.2963428327380293	-0.3141891418489088	-0.29318059407208275	-0.302740014946679
acupressurist	2	1	2	2	1	2	1	1	1	1	1	2	1	0.0441925576603943	-0.017265361637150117	0.0713425530112644	0.03967547517478482	-0.07823376516789995	0.014529977416925379	-0.08871759942044055	-0.05666538697145419	-0.10663135999192354	-0.01706106127089227	-0.06714708987077225	0.04338056745396965	-0.15182092273881626
acupuncturist	1	1	1	1	1	1	1	1	1	1	1	2	1	-0.0981891159398713	-0.15221429153059826	-0.125991895882044	-0.054958311065883295	-0.14542866570835877	-0.16974164479008205	-0.28672043806853814	-0.23590467439950386	-0.24729010033104282	-0.09551263651764424	-0.007724207956887608	0.0916531117405941	-0.06854681972400328
addresser	1	1	1	1	1	1	1	1	1	1	1	1	1	-0.14545541406974025	-0.2072508993709888	-0.07057054217210956	-0.1048206151846695	-0.13058740548978046	-0.19038436042414886	-0.2840999495609585	-0.41703588000688224	-0.5080637828566238	-0.6732030557930553	-0.4520522542036992	-0.2182285843245606	-0.24475478073823176
adjuster	1	1	1	1	1	1	1	1	1	1	1	1	1	-0.16524296017024284	-0.15865545162420627	-0.18184665521508592	-0.28317478337219815	-0.4699077765204607	-0.11010701470860965	-0.2204541751878159	-0.32191389437764223	-0.2753780745404495	-0.37490014327776755	-0.3211715242720936	-0.07023537931681004	-0.1180974221192225
admeasurer	1	1	1	1	1	1	1	1	1	1	1	2	2	-0.11153974791451766	-0.13939255988645	-0.060876851557245946	-0.02425806945323536	-0.1523317447558175	-0.09532099960497231	-0.11527123718381989	-0.23471355436913258	-0.24004772526446527	-0.3797265878292345	-0.13511804743514788	0.17147403666430042	0.2495949767348502
administrator	1	1	2	2	2	1	1	1	1	2	2	2	2	-0.05595023794009918	0.0008905194848378567	0.07034972673176751	0.14130954581761107	0.24549557726483395	-0.04545472438296797	-0.030383059160730058	-0.11007060289818194	-0.1788586336201177	0.00560915879640303	0.3409143737358635	0.3229897212232354	0.4293912459047192
adon	1	1	1	1	1	1	1	1	1	1	1	1	1	-0.262257782197729	-0.33012541763684433	-0.3931518793869401	-0.5361871844666721	-0.7632976785217588	-0.7898341642072073	-0.6854636683531103	-0.6992667349775707	-0.5149453622866319	-0.8695380999850928	-0.6300972765009404	-0.7711668424470689	-0.9362912242114412
advertiser	1	1	1	2	1	1	2	2	1	1	2	2	2	0.005799484122743795	-0.10616032953629317	-0.10009298165049638	0.14297194003906674	-0.019091120765048764	-0.05956834711363605	0.03395283517572843	0.07140293756070286	-0.14456742362094932	-0.18234179112016757	0.03801258441939441	0.25658977413875594	0.22781281245731777
aemt	2	2	2	2	2	2	2	1	1	1	1	1	1	0.031582941513508496	0.06147862768482507	0.024417703306845853	0.1647984616090991	0.034457455915060275	0.1151635776916955	0.03987173385261201	-0.0039180500449051	-0.05271734774963782	-0.1402591244508896	-0.047175446159543916	-0.11082250467885602	-0.09946442240010753
aerodynamicist	1	1	1	1	1	1	1	1	1	1	1	1	1	-0.2157040873141471	-0.1751641418012358	-0.2738064955055529	-0.23868377760637233	-0.21456484193882083	-0.11770376553836807	-0.2717936267288431	-0.3592291019736422	-0.5153268257724721	-0.5188098668501416	-0.7813909517166276	-0.7232061712838866	-1.1984600764743796
aerographer	1	2	1	1	2	2	1	1	1	1	1	2	1	0.0044805553961407285	0.040402105291613324	-0.048915190212916536	-0.007316902880763934	0.023485400924373886	0.07679934021283592	-0.060520320999627605	-0.06690893420411466	-0.3139658226507602	-0.24958832732302183	-0.1624775425490852	0.06634825013557266	-0.23915883944899502
aerologist	1	1	1	1	1	1	1	1	1	1	1	1	1	-0.09479589910135114	-0.017997440348030778	-0.0975477642315245	-0.1618458898292732	-0.10781046421074124	-0.24740605383067288	-0.344296346228515	-0.37860942487133953	-0.42459438990883414	-0.4293305810523019	-0.4456008029546271	-0.33758755859039385	-0.7467725661642305
aerophysicist	1	1	1	1	1	1	1	1	1	1	1	1	1	-0.17288041847657049	-0.21506184526088537	-0.332894035035414	-0.35296317381199993	-0.2349098344343281	-0.27869876754421447	-0.3405228824247249	-0.3330841272304237	-0.454939209973506	-0.5443829006247173	-0.6408432930023956	-0.4812524494039264	-0.6462217660835718
aesthetician	1	1	1	1	1	1	1	1	1	1	1	1	1	-0.15431752415828884	-0.17419337574123275	-0.17150755042919485	-0.0662046930003854	-0.05375943443192343	-0.08397429986387747	-0.16561295508652715	-0.21283939091104526	-0.4666666777750762	-0.7375252224489812	-0.7139805846286992	-0.67142380565152	-0.7083500934912321
afterschool	2	2	2	1	1	1	1	1	1	1	1	1	2	0.017273792047048313	0.12810132124581888	0.006135600775561301	-0.08184072925855422	-0.10138842404745746	-0.03921177464946883	-0.1964329869947432	-0.01649963875508294	-0.18279098257157972	-0.20310065234299635	-0.08546916040365332	-0.4362130218124034	0.18189341551787014
agent	1	1	2	2	2	2	2	2	1	2	2	2	2	-0.1490261230686289	-0.11545047248342509	0.009801592325559862	0.0424978305309604	0.13764185125724432	0.24614513425844028	0.20040418622530326	0.11950830394576042	-0.01099501071532305	0.06594790117761387	0.18252265085569577	0.16576594759627736	0.39228177818356397
agriculturist	1	1	1	1	1	1	1	1	1	1	1	1	2	-0.17486060128799466	-0.27289613331919216	-0.22974636469096027	-0.16366106707706488	-0.271674071169144	-0.15574325714948395	-0.2164857454810846	-0.24746828073079025	-0.2453377368086287	-0.2337266741964371	-0.22970113340057696	-0.12013784295021776	0.20936375711793032
agronomist	1	1	1	1	1	1	1	1	1	1	1	1	1	-0.2003238454715418	-0.3151570428825022	-0.22316736651387029	-0.22937982118515712	-0.3910752596975751	-0.3270461802596976	-0.29768307172097513	-0.4031157608152929	-0.4460617298188373	-0.48462086391290543	-0.5456355642032071	-0.2873944607455249	-0.335684606563466
