word, gender_class_00, gender_class_01, gender_class_02, gender_class_03, gender_class_04, gender_class_05, gender_class_06, gender_class_07, gender_class_08, gender_class_09, gender_class_10, gender_class_11, gender_class_12, gender_spectrum_00, gender_spectrum_01, gender_spectrum_02, gender_spectrum_03, gender_spectrum_04, gender_spectrum_05, gender_spectrum_06, gender_spectrum_07, gender_spectrum_08, gender_spectrum_09, gender_spectrum_10, gender_spectrum_11, gender_spectrum_12, gender_relevance_00, gender_relevance_01, gender_relevance_02, gender_relevance_03, gender_relevance_04, gender_relevance_05, gender_relevance_06, gender_relevance_07, gender_relevance_08, gender_relevance_09, gender_relevance_10, gender_relevance_11, gender_relevance_12
abstracter, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, -1.5816590002157194, -1.552986197071249, -1.2771592389228865, -0.8717122464424171, -0.6402617907470289, -0.600530155288594, -0.3789488167884086, -0.7819494515728727, -0.8382808004326974, -1.1599706576922186, -1.2772077376894777, -1.0919811748212613, -0.5104632468357748, 4.293067249381076, 4.080439242525285, 4.52589283150036, 4.86598485022909, 5.279291014744891, 5.482196636590609, 5.7030567257689135, 5.855353780612684, 5.1815102255059315, 5.718120071884604, 6.898469144655808, 7.1010933368079305, 6.1463364721644504
abstractor, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, -0.7381582793036782, -1.0335448277553614, -0.9688148547121711, -0.6439526096586584, -0.46649513406401205, -0.5242392753612624, -0.42310777219529755, -0.6526901547394237, -0.76387020977743, -0.936408922879983, -0.9573036401772126, -0.9993296058378821, -0.4627565427161363, 4.589796227579836, 4.324087522299903, 4.688741114474389, 4.8592045973882065, 5.414243394859813, 5.659475667339954, 5.862568960870333, 5.952210616586034, 5.258333530521478, 5.885396599413555, 6.767825107141341, 6.702188083671311, 6.113554021583986
accessioner, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, -1.2221556727418352, -1.246409388539125, -1.1427982581844558, -0.9489974769355797, -0.6380687063257133, -0.3963188759086776, -0.3708420375191692, -0.778444349042323, -0.8642616874434297, -0.8084823481197987, -0.9812468667346668, -1.1723781775702526, -0.5275635193311514, 4.196677972689322, 4.029872045884858, 4.35973128105325, 4.688820711268043, 5.056544950957852, 5.2123554104935215, 5.327648561781276, 5.283430765031984, 4.87778841498195, 5.363292548820972, 6.347319670635354, 6.50236454815093, 6.267347133537754
accountant, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, -0.5379948328257231, -0.6028334243352967, -0.6421909967937459, -0.46380023993640623, -0.46493733300564805, -0.4262217636736451, -0.6078783040624343, -0.6692504158494886, -0.905782104858896, -1.037458752191417, -1.1164571363008422, -1.024970137119784, -0.9996680663821935, 5.8383353178378306, 5.794061940184756, 5.825222940761461, 6.09609586198842, 6.671160222544179, 6.344152456201396, 6.512070087451049, 6.555744829355602, 5.789971787253325, 6.814630409898722, 7.703779637667491, 7.9203108553032795, 8.78627384944554
acidizer, 2, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 0.024882070590104506, 0.03148914512380914, 0.1773962427329352, 0.422461123976671, 0.25269524210237837, 0.11229298511413571, 0.026545393937827698, -0.16589628927110872, -0.2533899961402082, -0.2579288232112179, -0.5030207628982412, -0.3545431602599633, -0.4111957397136179, 4.634298664083883, 4.4413517352704215, 4.925277854997516, 5.025703867252066, 5.317394703208772, 5.522410310488409, 5.4433423542803485, 5.423257227338169, 4.809149550864704, 5.167188294529668, 5.993556018167265, 5.775986901975602, 5.881977496962238
actuary, 1, 1, 1, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, -0.1970273286453222, -0.34632770845390437, -0.33838663053191265, 0.007580276931175648, 0.06535333990402462, 0.10380144330208552, -0.06991874939457526, -0.3937610787878247, -0.5779797524436026, -0.571585343133758, -0.8519774823034318, -0.7106215781632692, -0.5811749369545541, 4.5196981452309934, 4.578812568664742, 4.951578679533832, 5.094713047321314, 5.4771517883898095, 5.663098921057302, 5.709067442746552, 5.832775209701514, 5.171839150776641, 5.856592032596562, 6.774692809173448, 6.829817500516249, 7.915736740821233
acupressurist, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, -0.16405350523699838, -0.18181724432435145, -0.11255755731958633, -0.03528207620329188, -0.05889416815297651, -0.010632060692837633, -0.24395485014463722, -0.2478207599910149, -0.22548192871024753, -0.2621966577026838, -0.5016246006035728, -0.2531107107268855, -0.5028618929497373, 3.0276375375745657, 3.1870510908500944, 3.464044143103282, 3.853129653058981, 4.262546545115692, 4.280653756890434, 4.490390393017323, 4.7291410718894955, 4.434577193982036, 5.12686364823074, 5.8111436152916705, 5.980787075231843, 7.271975027081837
acupuncturist, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, -0.32495862763345434, -0.33264397826121034, -0.2867974732322702, -0.1611891884067693, -0.175921534314149, -0.227245467154697, -0.3922743993408277, -0.4689545974776242, -0.4231997551139588, -0.41467041302114754, -0.5222114298074729, -0.2958120577321443, -0.49780196452927755, 2.848937517874905, 3.014085635274621, 3.3334700381108813, 3.669824762617653, 3.9818612908284785, 4.146429329307912, 4.314420960128131, 4.673840323950558, 4.478102743365858, 5.259572453870128, 5.815102189283163, 5.911501968337087, 6.4788844155826295
addresser, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, -1.3862109883999505, -1.3307468908840832, -1.0878003488465877, -0.8920753370346163, -0.45745232414912484, -0.41894615301940996, -0.4250589064626014, -0.5347226309018269, -0.6526871154559386, -0.9108589036424855, -0.8624475812056098, -0.5797591691451793, -0.3082191044349951, 4.365460700921111, 4.258934438175128, 4.429071819861505, 4.780899665088027, 5.0914878361576905, 5.145840208760218, 5.2944665436988, 5.3893089542257595, 4.909098264241242, 5.474557068942944, 6.265625548699083, 6.2567116894965675, 6.922173091566906
adjuster, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, -1.4190770887824453, -1.2507812786256591, -1.1387527068696484, -1.0387969584362045, -0.9134104335193908, -0.6279944393487304, -0.5101081707284437, -0.7482084088432861, -0.747657541624072, -0.9188677414980161, -1.2025155287556442, -1.0116478425322857, -0.7645232361078478, 4.2495929322006205, 4.025593370760909, 4.352011101931323, 4.500986973258258, 5.163494553039242, 5.217082815519909, 5.545564512532915, 5.930269037564516, 5.263750856933468, 5.8253639690483086, 6.827891846606178, 6.654746358859075, 7.081445730136828
