word	gender_class_00	gender_class_01	gender_class_02	gender_class_03	gender_class_04	gender_class_05	gender_class_06	gender_class_07	gender_class_08	gender_class_09	gender_class_10	gender_class_11	gender_class_12	gender_spectrum_00	gender_spectrum_01	gender_spectrum_02	gender_spectrum_03	gender_spectrum_04	gender_spectrum_05	gender_spectrum_06	gender_spectrum_07	gender_spectrum_08	gender_spectrum_09	gender_spectrum_10	gender_spectrum_11	gender_spectrum_12	gender_relevance_00	gender_relevance_01	gender_relevance_02	gender_relevance_03	gender_relevance_04	gender_relevance_05	gender_relevance_06	gender_relevance_07	gender_relevance_08	gender_relevance_09	gender_relevance_10	gender_relevance_11	gender_relevance_12
abstracter	1	1	1	1	1	1	1	1	1	1	1	1	1	-0.3665986827801352	-0.4029923964837865	-0.3506082521350353	-0.3740628077440033	-0.4779918117624229	-0.386556407459	-0.4277130369593123	-0.5400462437973836	-0.5909443898017774	-0.7058118265031835	-0.6729862777501359	-0.4487706675340984	-0.43107532028730033	2.7951718510379187	2.7561900622902105	3.2243073788177052	3.466506088808118	3.8205468455384395	4.204867278261954	4.231544704369949	4.522733396125348	4.249815078763981	4.870547058526114	5.77950710420643	5.964541479184305	5.157985326496663
abstractor	1	1	1	1	1	1	1	1	1	1	1	1	1	-0.4237053695486479	-0.5717392442302592	-0.5061821319011806	-0.4976005926919558	-0.5119581709272263	-0.46017020681606846	-0.4398734618299418	-0.4891749906277953	-0.5375852412962466	-0.6111694177909687	-0.45107293725297704	-0.511300294835588	-0.4267099508451974	3.032346288072099	2.9576050447714337	3.2900601519904424	3.4436778990851256	3.902761912798124	4.260706061760996	4.246625761176167	4.509877792609235	4.205526303091232	4.784145859906944	5.676719482851903	5.63118487560633	5.121145727770491
accessioner	1	1	1	1	1	1	1	1	1	1	1	1	1	-0.05033505322958384	-0.14927944457389256	-0.20588607076716167	-0.2895302191092296	-0.34813424368173135	-0.33061916143186787	-0.45678686286689785	-0.5818325045345308	-0.6781003635668827	-0.7280314603605804	-0.7524391659441367	-0.8469173182377033	-0.5369275176630657	2.6531149254654247	2.6136685989949546	3.0680200654951766	3.3442548838386634	3.663520899625738	3.955098269384985	3.9855562286810726	4.125982679203449	3.9548913419850384	4.560285620564354	5.43643782518428	5.608063566228989	5.3074846599278525
accountant	1	1	1	1	1	1	1	1	1	1	2	2	2	-0.22140514991674842	-0.3457999506976772	-0.31703676457424956	-0.24686615572383797	-0.16714973389846105	-0.009366790636037294	-0.20803731718799584	-0.19863599664205042	-0.31670262132007637	-0.18200092980932694	0.003780197542320548	0.10839844124989272	0.12585933648453723	3.884414879702511	3.9212123879848377	4.095926230835776	4.269942987142818	4.826749223030863	4.8096938742190805	4.769017561820012	5.014751695152577	4.62197847995116	5.569846164705109	6.452002150007636	6.522201097381147	7.267337918710412
acidizer	1	1	1	2	1	1	1	1	1	1	1	1	1	-0.3676323305847194	-0.1923968910130852	-0.12585165859033523	0.01660170609457756	-0.10525257023230625	-0.253629207980042	-0.29439030978832254	-0.2831478451262063	-0.28550573809227664	-0.23089193484662265	-0.1944872002631953	-0.01427249938842138	-0.2374489991346276	3.0504022946671756	3.0535476665278924	3.5073541457212416	3.625604690637302	3.845153739583833	4.087420749531371	3.888935874352312	4.012344732187151	3.7804262390755654	4.133018092989046	4.965315638859336	4.921956536390397	5.002692009518438
actuary	1	1	1	1	1	1	1	1	1	1	1	1	1	-0.09293917287288085	-0.09023784576514104	-0.11159846204629652	-0.05283510955432434	-0.2140206891258116	-0.01316643598479539	-0.16802719948698175	-0.33198605546503807	-0.31041412602280644	-0.3010765299341366	-0.316012039412251	-0.2969390081780017	-0.30576709806989777	3.019991309852201	3.169985570701056	3.5801051730923685	3.6628867035048414	4.000776316452704	4.275936883508072	4.171967692731663	4.436093530778958	4.142930936227074	4.754089122713306	5.6822026609789775	5.743152793396883	6.707392992691212
acupressurist	2	1	2	2	1	2	1	1	1	1	1	2	1	0.03550537784454696	-0.029282677345665604	0.07167230194975886	0.039397668389819784	-0.08321139190266694	0.009763559010400711	-0.09061049431018883	-0.05937420500438874	-0.10494476579906346	-0.018587503744754784	-0.06729878040323034	0.03968850816001097	-0.15461612826353094	2.006441852640874	2.2458200348261643	2.545539609790049	2.834724761843586	3.013244468500537	3.2093493851605386	3.197522351893776	3.5408536190823474	3.5474750264190336	4.134958046156443	4.824006193868945	5.1110589602003955	6.202613585874028
acupuncturist	1	1	1	1	1	1	1	1	1	1	1	2	1	-0.10694309520097665	-0.16249760015146922	-0.12806024131568222	-0.056805950077731246	-0.15287893423826665	-0.1729214537600425	-0.28933099819498553	-0.23929499589930348	-0.24624607091418832	-0.10019474587073661	-0.007611772460486499	0.0879124528360733	-0.07139345927287108	1.8993656535351935	2.1334817672282567	2.4217148798803283	2.636418771625017	2.7657419086822	3.0641337864634393	3.0683231994563633	3.4838438266394114	3.548312040178731	4.204203281205895	4.837192831237219	4.996769994486542	5.525878860039434
addresser	1	1	1	1	1	1	1	1	1	1	1	1	1	-0.16947349317750027	-0.21126209627060624	-0.06827118401793786	-0.10448528118740794	-0.14058276353720606	-0.2016214062957341	-0.29084232687662526	-0.4194676385657594	-0.512240336866429	-0.6768761498626849	-0.45583948805491026	-0.22209431340060887	-0.24780217111357306	2.727477549669574	2.6860844071162107	2.956284772419576	3.2898365091041293	3.6070451314374354	3.827192441116619	3.8786815942326776	4.003770929642229	3.846382315011885	4.4662769774304	5.280501265215531	5.240534542012256	5.7909355101934015
adjuster	1	1	1	1	1	1	1	1	1	1	1	1	1	-0.17255115238981086	-0.1471871721354643	-0.173257058673779	-0.2739875100272423	-0.4679916714974626	-0.11522971464921947	-0.22569868381306007	-0.32521387482786923	-0.2785512750344329	-0.3795475874486094	-0.3232470792843372	-0.07409608749043695	-0.12118681963527611	2.6969444405173837	2.692433825713895	3.072114627812308	3.09146255424662	3.6918976928925487	3.8109842854059446	3.928093509559942	4.3172373817058345	4.091664319568396	4.731163802510066	5.62136331932752	5.41970374757262	5.850197662529261
