word, gender_class_00, gender_class_01, gender_class_02, gender_class_03, gender_class_04, gender_class_05, gender_class_06, gender_class_07, gender_class_08, gender_class_09, gender_class_10, gender_class_11, gender_class_12, gender_spectrum_00, gender_spectrum_01, gender_spectrum_02, gender_spectrum_03, gender_spectrum_04, gender_spectrum_05, gender_spectrum_06, gender_spectrum_07, gender_spectrum_08, gender_spectrum_09, gender_spectrum_10, gender_spectrum_11, gender_spectrum_12, gender_relevance_00, gender_relevance_01, gender_relevance_02, gender_relevance_03, gender_relevance_04, gender_relevance_05, gender_relevance_06, gender_relevance_07, gender_relevance_08, gender_relevance_09, gender_relevance_10, gender_relevance_11, gender_relevance_12
abstracter, 1, 1, 2, 1, 1, 1, 1, 1, 1, 2, 2, 1, 1, -6.208669670857489, -9.164639207301661, 7.180152174085379, -8.881075449287891, -6.649485353380442, -8.100259015336633, -6.435998054686934, -9.681858040392399, -5.567968599498272, 4.608950647059828, 5.36354262009263, -7.7971692606806755, -5.802460394799709, 0.41709662117558344, 0.20453815056033625, 0.22543275654929565, 0.22510855887564732, 0.5896962620479488, 0.7028891846810813, 0.690375370020809, 1.270777327660679, 0.5547137659317936, 0.2604919316588265, 0.5111059468976636, 0.30863433993345685, 0.20151534423113665
abstractor, 1, 2, 2, 1, 1, 1, 1, 1, 1, 2, 1, 1, 2, -6.453934588469565, 7.695725661935285, 5.752818148583174, -9.119200006127357, -6.672171618789434, -7.189368376508355, -6.407347375992686, -8.035948820412159, -5.360501185059547, 4.92963902419433, -5.449862264096737, -7.99196857213974, 5.9303715862333775, 0.28915708809201407, 0.21351177702467056, 0.2594647680685803, 0.24952471462335535, 0.5897750201017897, 0.6197265347435368, 0.603617744999402, 1.070285174827978, 0.43069292196221454, 0.45029367532678877, 0.40843769678613795, 0.2899911479122718, 0.20107304630050515
accessioner, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, -5.317710637114942, -7.799654970644042, -7.714585151523352, -9.037412375211716, -5.0532299764454365, -7.611276587471366, -5.352682886179537, -7.084008261561394, -5.042312428355217, -6.276012020651251, -6.861154243350029, -6.67498479783535, 4.817408911883831, 0.2764873381098441, 0.39214999136233897, 0.35996071441856836, 0.4664078386786675, 0.609806193800578, 0.6018401352519291, 0.8148595002756696, 0.6897923764888132, 0.37330136916471335, 0.4564090561195389, 0.47883022833591515, 0.37771265963223305, 0.2358795023186553
accountant, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 2, 1, 1, -5.084560156799853, -10.01635208982043, -9.269990984350443, -5.078972801566124, -6.831339448690414, 8.284149477258325, -8.101955523248762, -7.472734250128269, -3.9159521982073784, -5.881492556538433, 6.223941112868488, -6.566485920920968, -5.509252304211259, 0.38013380643900674, 0.5929102787835513, 0.6565396735491179, 0.8497568902074321, 0.5498688754376155, 0.490567349619544, 0.6861618301691562, 0.7187064263346488, 0.5211575078825864, 0.34371474592673334, 0.5416906239301508, 0.4456366942161891, 0.3442682256480082
acidizer, 1, 2, 2, 2, 1, 1, 1, 1, 1, 1, 2, 1, 2, -7.139843485318124, 6.180736241163686, 8.684395175427198, 9.578613840043545, -7.238760583102703, -8.486336464062333, -5.084614255931228, -6.204888515174389, -4.129111476242542, -5.519317895639688, 6.589090749621391, -5.361195862293243, 6.368565581738949, 0.4804080972613528, 0.2487073127094702, 0.4924520673923058, 0.31599049343548063, 0.38943959550018725, 0.6976522320295927, 0.8343764982084131, 0.4454405175792928, 0.3984929530723361, 0.2519736325766168, 0.45703579232315666, 0.2757973669932263, 0.39203353720757134
actuary, 1, 1, 2, 2, 2, 2, 2, 1, 2, 2, 1, 2, 1, -7.159201660193503, -7.349980493308976, 7.5600286312401295, 6.111027620732784, 7.962175752967596, 7.672970963642001, 7.4824482328258455, -7.023207902908325, 5.201664224267006, 5.749839852098376, -8.376784540712833, 7.0510109812021255, -6.601515321061015, 0.48460665527804225, 0.4138231071030281, 0.29234673877671286, 0.5817882044933101, 0.43248975032107895, 0.46652685357079376, 0.3774273413552048, 0.5164271383498029, 0.3033753435355846, 0.3314261849668278, 0.3228011477802586, 0.4013494865182375, 0.38187207790953304
acupressurist, 1, 2, 2, 1, 2, 1, 2, 2, 1, 1, 2, 2, 1, -7.138186709024012, 7.289287247927859, 6.662494752556086, -8.416359525173903, 4.986054358072579, -6.698803193867207, 6.546718222554773, 9.062637448310852, -5.407221019268036, -5.153404247481376, 7.814747750759125, 6.372411049902439, -4.7255943194031715, 0.4382590767043261, 0.2855363398671791, 0.2213093243422855, 0.26448145577173804, 0.3205261097142217, 0.1614586119805153, 0.3269148069315445, 0.2523957752320178, 0.4907397280064871, 0.35176261348669813, 0.36517916006516643, 0.2082810757188846, 0.5272549962954248
acupuncturist, 1, 1, 2, 1, 2, 1, 2, 2, 2, 2, 2, 2, 1, -6.9524820959195495, -6.6193194824736565, 6.403365660458803, -7.7514348132535815, 5.016404382884502, -6.865466361865401, 6.8253646469675004, 9.17323536425829, 5.9687864780426025, 6.699892172124237, 7.4301948845386505, 7.029779732227325, -3.9579908400774, 0.2966395980718737, 0.1759149250728221, 0.2561060873997466, 0.2780500490752968, 0.33109591497795904, 0.2657915860568291, 0.4491047752439625, 0.1835666857539464, 0.6178238921753022, 0.5179387730695084, 0.29484928712768543, 0.30756654934317273, 0.46236207716744515
addresser, 2, 1, 1, 1, 1, 1, 2, 2, 1, 2, 1, 1, 1, 6.310762383975089, -8.284923059633002, -8.615263391286135, -9.576715387403965, -6.6899733655154705, -7.710916498675942, 6.675976236816496, 6.947517529129982, -4.69165763258934, 6.411418447736651, -8.238023847341537, -5.17070272564888, -5.37289622426033, 0.3360354778244411, 0.3164858671099464, 0.4916459549162318, 0.3008242080744584, 0.7178565599084572, 0.5304853812614132, 0.5502507835404888, 0.6214941988254732, 0.3703034711316156, 0.33633137264839985, 0.3329994350747896, 0.31475397948867845, 0.3510658684326877
adjuster, 1, 1, 1, 1, 2, 1, 2, 2, 1, 1, 2, 1, 2, -5.892165421508253, -10.156873414991423, -8.501800782978535, -7.5047145411372185, 6.51053049787879, -8.239927286282182, 5.216801529284567, 5.769047111272812, -4.569773837924004, -5.010476449970156, 9.081977650523186, -4.993520058691502, 5.659255433827639, 0.14286183373477085, 0.20680697912869378, 0.28359560676147555, 0.5519345196412063, 0.6977721047955838, 0.5147315948938808, 0.7413219428356279, 0.6918892274511752, 0.40779004995944784, 0.3275839415360884, 0.4560619129131424, 0.3533466041734951, 0.4028563347697748
