word	gender_class_00	gender_class_01	gender_class_02	gender_class_03	gender_class_04	gender_class_05	gender_class_06	gender_class_07	gender_class_08	gender_class_09	gender_class_10	gender_class_11	gender_class_12	gender_spectrum_00	gender_spectrum_01	gender_spectrum_02	gender_spectrum_03	gender_spectrum_04	gender_spectrum_05	gender_spectrum_06	gender_spectrum_07	gender_spectrum_08	gender_spectrum_09	gender_spectrum_10	gender_spectrum_11	gender_spectrum_12	gender_relevance_00	gender_relevance_01	gender_relevance_02	gender_relevance_03	gender_relevance_04	gender_relevance_05	gender_relevance_06	gender_relevance_07	gender_relevance_08	gender_relevance_09	gender_relevance_10	gender_relevance_11	gender_relevance_12
abstracter	2	2	2	1	1	1	1	1	1	1	2	1	1	5.182628199458122	4.2139738239347935	5.05613286793232	-3.9823856689035892	-4.01689812168479	-4.9112304374575615	-5.6473847180604935	-5.157708216458559	-4.790590239688754	-4.722698874771595	5.254061826504767	-4.79232931137085	-2.9841436855494976	0.5649792388199815	0.3331074596693119	0.9734630875237338	0.1799546667745897	0.2619324056165559	0.7550699605829135	0.29436059798470643	0.8050571149766997	0.9621999550411057	0.9260040587705115	0.4526054965700378	0.5764953000470996	0.2519337115744194
abstractor	2	2	2	1	1	1	1	1	1	1	1	1	2	4.682689920067787	3.8379976861178875	5.158114969730377	-4.093789417296648	-4.473525624722242	-4.136249355971813	-4.7645067274570465	-4.537358786910772	-4.539556430652738	-4.472336918115616	-4.826878665946424	-4.306133687496185	3.076822429895401	0.4319341570464156	0.33808822184801113	0.8125655559254138	0.0873394383286888	0.2695849947631359	0.8895538665153564	0.3992377609866392	0.6922331752738468	0.7587306391456466	0.6797397593441217	0.3081287032124972	0.45341088133864105	0.34167718939431063
accessioner	1	2	2	2	1	1	1	1	1	1	2	1	1	-5.2977844923734665	4.051520623266697	4.401382453739643	2.7382181845605373	-3.8174167908728123	-4.943006403744221	-5.988934479653835	-3.974811974912882	-4.7597777638584375	-4.993745923042297	5.053859041072428	-5.671914950013161	-2.914162799715996	0.24672070959553366	0.2676149755198922	0.6967409473581192	0.4026129092578288	0.6640348058726105	0.8204910314111948	0.19014787362945923	0.527664689609298	0.923876097516997	0.9004700119728627	0.3985767774343017	0.6174155371263623	0.2994422085218496
accountant	1	1	1	1	2	1	1	1	1	2	2	1	1	-4.5818661749362946	-5.270150262862444	-6.380688771605492	-4.903014287352562	3.418867342174053	-3.099570743739605	-5.233239009976387	-4.543423864990473	-3.554796637967229	3.4814013093709946	5.454958043061197	-4.661068856716156	-3.52439658716321	0.39406754360755997	0.6180954637626808	0.44528797101446527	1.0940972470737005	0.5666747951081821	0.667925430480579	0.38350857164501173	0.6408707859891433	0.8778314007606819	0.7916087572470956	0.40443736778311484	0.40997304185293615	0.26481299287268334
acidizer	1	1	1	2	2	1	1	2	1	1	2	1	2	-6.070033505558968	-3.334196764975786	-4.799373909831047	4.317029323428869	3.7888416722416878	-3.713403560221195	-4.246687699109316	4.402174312621355	-3.232629643753171	-3.8449099268764257	4.372271687723696	-3.9656044095754623	2.973422549664974	0.2868610897323206	0.15022866107109523	0.5026575494826813	0.7521749788022543	0.3849452125174659	0.5951243159157359	0.1837408690900963	0.5050459431829276	0.3692792839520461	0.768819735257522	0.24378464088908264	0.44382683746516705	0.4958483923513155
actuary	1	1	1	2	2	1	1	1	2	1	2	1	2	-6.502313211560249	-4.2159906551241875	-4.183128550648689	2.901016477495432	4.704996425658464	-4.875087343156338	-5.720476403832436	-5.821301806718111	3.9762597400695086	-5.816990327090025	5.0496656177565455	-5.385478261858225	3.904123544692993	0.6437270069406146	0.20276772608566612	0.41450276783990975	0.5555905884170866	0.4349244319966862	1.1208210258057925	0.2807017701852073	0.279415999242553	0.9758619817542586	0.74678358644571	0.3592097222139122	0.44478773334412836	0.5588244133062297
acupressurist	1	1	2	1	1	1	1	1	2	1	2	1	2	-5.119117613881826	-3.8161437399685383	6.77059175632894	-2.947354380041361	-5.274592568166554	-3.790230058133602	-5.330664071254432	-5.210070952773094	2.817186774685979	-3.5156389474868774	5.948446952737868	-4.196459576487541	2.8287990875542164	0.47804263259897695	0.2690600377197067	1.129240249210235	0.46865291763227307	0.26455096261841915	0.35339323317111543	0.12474309584356595	0.3155115894317903	0.4191229704654579	0.345170656947986	0.44533396997901614	0.12255958723835647	0.1858887764807608
acupuncturist	1	1	2	1	2	1	1	1	2	1	2	1	2	-4.576812580227852	-3.3081188946962357	7.207088023424149	-2.942173842340708	5.4481098130345345	-4.120020814239979	-5.004526033997536	-4.403195071965456	3.748681338503957	-4.712185487151146	5.788666450418532	-4.541922204196453	3.3894839100539684	0.22729597268330437	0.10651817079633476	1.1724239418278763	0.3115702346227803	0.30331286165331095	0.5924869335918164	0.30429883515580597	0.27313096470854903	0.8001343128564475	0.8387049945541051	0.2704870339982954	0.40992701513459906	0.2671047823236591
addresser	1	1	1	2	1	1	1	2	2	1	2	1	2	-5.755355030298233	-5.055848430842161	-6.628523200750351	3.999914463609457	-5.187842350453138	-4.685222990810871	-6.30541705340147	4.868689212948084	3.465662421658635	-3.987146258354187	6.329661154188216	-5.474500976502895	2.5942344442009926	0.34732775965350726	0.26834961647788685	0.4331960268926509	0.24045428935881263	0.8375452918665748	0.3843270420372762	0.1459147243231481	0.30976325797813914	0.4509230866715625	0.5195401494788088	0.2138387918848582	0.1872797756223008	0.26105000500704023
adjuster	1	1	1	2	1	1	1	2	1	1	2	1	2	-6.2501320615410805	-4.731373619288206	-5.661255300045013	4.288109477609396	-4.877429503947496	-3.7246871888637543	-5.7610983438789845	5.379439014941454	-3.485999273136258	-4.124436527490616	6.370354735292494	-4.846851781010628	3.122940257191658	0.22917405139906188	0.10930628743436602	1.1623949296824583	0.3917587427878297	0.7497919512646538	0.35745369890149725	0.1505343661104378	0.6579161930415365	0.587646398545701	0.597910335517448	0.305026556672945	0.2611968230921775	0.2299390817647214
