word	gender	gender_name	gender_projection
technician	Gender.FEMALE	FEMALE	0.34508223112560976
accountant	Gender.FEMALE	FEMALE	0.5606804313970595
supervisor	Gender.FEMALE	FEMALE	0.43126366428694074
engineer	Gender.MALE	MALE	-0.05915357977979599
worker	Gender.FEMALE	FEMALE	0.18629795391152543
educator	Gender.MALE	MALE	-0.3759839984938933
clerk	Gender.FEMALE	FEMALE	0.6123882690471325
counselor	Gender.FEMALE	FEMALE	1.1221717663091184
inspector	Gender.FEMALE	FEMALE	0.7726256901226136
mechanic	Gender.FEMALE	FEMALE	0.47588816942734047
manager	Gender.MALE	MALE	-0.3767194871246612
therapist	Gender.FEMALE	FEMALE	1.2204060604333618
administrator	Gender.FEMALE	FEMALE	0.26065796293037224
salesperson	Gender.FEMALE	FEMALE	0.39833718362921455
receptionist	Gender.FEMALE	FEMALE	1.1705815139704283
librarian	Gender.MALE	MALE	-0.6213913431182391
advisor	Gender.FEMALE	FEMALE	0.47708116980826554
pharmacist	Gender.FEMALE	FEMALE	0.054177147274276416
janitor	Gender.MALE	MALE	-0.22235844258369747
psychologist	Gender.FEMALE	FEMALE	0.26195667174256965
physician	Gender.FEMALE	FEMALE	0.3141484669614528
carpenter	Gender.FEMALE	FEMALE	0.024442129757223555
nurse	Gender.FEMALE	FEMALE	1.5155318833583706
investigator	Gender.FEMALE	FEMALE	0.631716666049416
bartender	Gender.FEMALE	FEMALE	0.342472584707723
specialist	Gender.FEMALE	FEMALE	0.45089457995980103
electrician	Gender.MALE	MALE	-0.41389047576599713
officer	Gender.FEMALE	FEMALE	0.48443668823554475
pathologist	Gender.FEMALE	FEMALE	0.22586786634864994
teacher	Gender.FEMALE	FEMALE	0.6575315979430641
lawyer	Gender.MALE	MALE	-0.006328198041686772
planner	Gender.MALE	MALE	-0.10151022549382616
practitioner	Gender.FEMALE	FEMALE	0.46502060724723315
plumber	Gender.FEMALE	FEMALE	0.10380882411931397
instructor	Gender.FEMALE	FEMALE	0.8449909651119456
surgeon	Gender.FEMALE	FEMALE	0.43849515154394353
veterinarian	Gender.FEMALE	FEMALE	0.4639651231343143
paramedic	Gender.FEMALE	FEMALE	0.6632372528476018
examiner	Gender.FEMALE	FEMALE	0.587346930510174
chemist	Gender.FEMALE	FEMALE	0.14275019120963292
machinist	Gender.FEMALE	FEMALE	0.022227841256875228
appraiser	Gender.MALE	MALE	-0.3513831541143749
nutritionist	Gender.FEMALE	FEMALE	0.06896693512835494
architect	Gender.MALE	MALE	-0.27917870363008596
hairdresser	Gender.FEMALE	FEMALE	0.6280535367812093
baker	Gender.MALE	MALE	-0.9263529843522766
programmer	Gender.FEMALE	FEMALE	0.4009821887783248
paralegal	Gender.MALE	MALE	-0.5746810322447495
hygienist	Gender.MALE	MALE	-0.41098571324469946
scientist	Gender.FEMALE	FEMALE	0.5687867253185888
dispatcher	Gender.MALE	MALE	-0.055318993094258764
cashier	Gender.FEMALE	FEMALE	0.8534282260236274
auditor	Gender.FEMALE	FEMALE	0.4176141136872771
dietitian	Gender.MALE	MALE	-0.1225250762518203
painter	Gender.MALE	MALE	-0.15938850304448193
broker	Gender.FEMALE	FEMALE	0.21256957735195287
chef	Gender.FEMALE	FEMALE	0.36426313878049904
doctor	Gender.FEMALE	FEMALE	0.2994908142230355
firefighter	Gender.FEMALE	FEMALE	0.5041527179453935
secretary	Gender.FEMALE	FEMALE	0.2936598057888845
