word	gender	gender_name	gender_projection
technician	Gender.MALE	MALE	-0.3561676051082783
accountant	Gender.MALE	MALE	-0.12947671400460087
supervisor	Gender.MALE	MALE	-0.06876406017911253
engineer	Gender.MALE	MALE	-0.2980889052708826
worker	Gender.MALE	MALE	-0.1374833028471834
educator	Gender.FEMALE	FEMALE	0.14106160543671578
clerk	Gender.FEMALE	FEMALE	0.1381351991073528
counselor	Gender.FEMALE	FEMALE	0.28525949780985815
inspector	Gender.MALE	MALE	-0.4840614776573794
mechanic	Gender.MALE	MALE	-0.45966253236026944
manager	Gender.MALE	MALE	-0.15802200921638104
therapist	Gender.FEMALE	FEMALE	0.18278739129217608
administrator	Gender.FEMALE	FEMALE	0.03036079203425318
salesperson	Gender.MALE	MALE	-0.025160358681454324
receptionist	Gender.FEMALE	FEMALE	0.4773069994686111
librarian	Gender.FEMALE	FEMALE	0.36127081965165436
advisor	Gender.FEMALE	FEMALE	0.14409075417119083
pharmacist	Gender.MALE	MALE	-0.12580858386664484
janitor	Gender.MALE	MALE	-0.086432144532
psychologist	Gender.FEMALE	FEMALE	0.23526188212458277
physician	Gender.FEMALE	FEMALE	0.010783117079171137
carpenter	Gender.MALE	MALE	-0.019145683531801835
nurse	Gender.FEMALE	FEMALE	0.5577649039383247
investigator	Gender.MALE	MALE	-0.12602128452818004
bartender	Gender.FEMALE	FEMALE	0.0327425449601995
specialist	Gender.MALE	MALE	-0.2940156766476526
electrician	Gender.MALE	MALE	-0.2840264959505623
officer	Gender.MALE	MALE	-0.34054931770318864
pathologist	Gender.FEMALE	FEMALE	0.017967357370235887
teacher	Gender.MALE	MALE	-0.08862153076852002
lawyer	Gender.MALE	MALE	-0.2596318273261474
planner	Gender.FEMALE	FEMALE	0.1689147833074315
practitioner	Gender.FEMALE	FEMALE	0.05567494277119507
plumber	Gender.MALE	MALE	-0.015723751053449857
instructor	Gender.MALE	MALE	-0.19978846417525697
surgeon	Gender.MALE	MALE	-0.23914312457625514
veterinarian	Gender.FEMALE	FEMALE	0.11952677872478878
paramedic	Gender.MALE	MALE	-0.04227782155686381
examiner	Gender.FEMALE	FEMALE	0.0733865785313706
chemist	Gender.MALE	MALE	-0.14347287543817094
machinist	Gender.MALE	MALE	-0.17705377291484684
appraiser	Gender.FEMALE	FEMALE	0.08620305049606491
nutritionist	Gender.FEMALE	FEMALE	0.0254128847707122
architect	Gender.MALE	MALE	-0.2777826854125313
hairdresser	Gender.MALE	MALE	-0.09803075999609201
baker	Gender.MALE	MALE	-0.1786021461890232
programmer	Gender.MALE	MALE	-0.10490259375652092
paralegal	Gender.MALE	MALE	-0.12359324121156814
hygienist	Gender.MALE	MALE	-0.13388470127485055
scientist	Gender.MALE	MALE	-0.10833143669211118
dispatcher	Gender.FEMALE	FEMALE	0.03375687486224159
cashier	Gender.MALE	MALE	-0.3646429995114964
auditor	Gender.MALE	MALE	-0.05637762160802154
dietitian	Gender.MALE	MALE	-0.04575235917677835
painter	Gender.MALE	MALE	-0.3752516586885852
broker	Gender.MALE	MALE	-0.23709039507282742
chef	Gender.MALE	MALE	-0.08030685607868891
doctor	Gender.MALE	MALE	-0.33754562934133514
firefighter	Gender.MALE	MALE	-0.03993396710286791
secretary	Gender.FEMALE	FEMALE	0.051223205335064345
