word	pred_gender_00	pred_gender_01	pred_gender_02	pred_gender_03	pred_gender_04	pred_gender_05	pred_gender_06	pred_gender_07	pred_gender_08	pred_gender_09	pred_gender_10	pred_gender_11	pred_gender_12	proj_gender_00	proj_gender_01	proj_gender_02	proj_gender_03	proj_gender_04	proj_gender_05	proj_gender_06	proj_gender_07	proj_gender_08	proj_gender_09	proj_gender_10	proj_gender_11	proj_gender_12
abstracter	1	1	1	1	1	1	1	1	1	1	1	1	1	-0.35395681754812264	-0.40156191120953083	-0.3582252190754096	-0.40960784207794	-0.4545835317229532	-0.4310252717663951	-0.575525983274596	-0.7043551146344375	-1.0556864569166922	-1.4394138747587921	-1.8726007402512268	-1.9423280609712663	-1.3689749046929158
abstractor	1	1	1	1	1	1	1	1	1	1	1	1	1	-0.4143903983438493	-0.5689553159187634	-0.49594704882959306	-0.5257244988098567	-0.4905565386542558	-0.4459978404479208	-0.6456188200255804	-0.7045183838803535	-1.1775423190059113	-1.5084067714100131	-1.8401510989825127	-2.0467551341926153	-1.5182178279027896
accessioner	1	1	1	1	1	1	1	1	1	1	1	1	1	-0.04862392058712067	-0.15746723508792615	-0.2269637603169872	-0.28507007899932557	-0.32751527533293234	-0.3965177994652831	-0.5491673941061007	-0.5960356785587129	-1.0131562993595387	-1.2153817555535917	-1.6531484986109846	-1.7981994814795437	-1.4017238214990324
accountant	1	1	1	1	1	1	1	2	1	2	1	1	1	-0.2234961575229855	-0.33749708215161317	-0.30990339589964866	-0.22132378969758004	-0.17787571578442973	-0.04498719936066309	-0.010514786494860928	0.1380085464199503	-0.026186707935106468	0.033094716769455024	-0.17214633175673333	-0.28088124245255497	-0.1402606188735253
acidizer	1	1	1	2	1	1	1	2	1	1	1	1	1	-0.35918117261920235	-0.18430416548020656	-0.12157506543251893	0.009945818388673672	-0.02488081216113819	-0.09650103879818375	-0.09022322194470328	0.07884753037855907	-0.24079921244514696	-0.1085743316445329	-0.3998571753165411	-0.5282294428434116	-0.8213567810769812
actuary	1	1	1	1	1	1	1	1	1	1	1	1	1	-0.08009761348739138	-0.10914385113015897	-0.13947147993758033	-0.08984244888578297	-0.20252321169023368	-0.1534031355576759	-0.2338610968803841	-0.3002109883466352	-0.3226334462159165	-0.3097136370647501	-0.2569114132102356	-0.6624052914677729	-0.4890309455774074
acupressurist	2	1	2	2	1	2	1	2	2	1	1	1	1	0.045037041352171014	-0.018170368302891357	0.09824559675341354	0.12609271270950578	-0.010769210545744257	0.15992787783459994	-0.010288558512123722	0.10611837549823941	0.0071658494153449825	-0.02532338684793356	-0.32084145256322133	-0.8751392346019727	-0.6796376054994012
acupuncturist	1	1	1	2	1	1	1	1	1	1	1	1	1	-0.09749069312559289	-0.14700148392268342	-0.08391956984313242	0.004629029913786782	-0.07023386187594274	-0.04696061392868789	-0.22992393758786073	-0.08434847207925916	-0.2831034287360933	-0.23603874862241248	-0.4968204633824088	-0.8320415807053632	-1.1435117943913409
addresser	1	1	1	1	1	1	1	1	1	1	1	1	1	-0.14865328066471184	-0.22031025856639888	-0.05772370210800194	-0.08142302603727397	-0.033843186285688664	-0.07708428830293386	-0.2559477843519046	-0.3142854675128079	-0.3289299365370043	-0.5713516241588968	-0.870610551165435	-1.4296693623625538	-1.0756525367551686
adjuster	1	1	1	1	1	1	1	1	1	1	1	1	1	-0.16649363444307425	-0.16149184238631714	-0.20022956284034343	-0.31215919763782757	-0.5195001443861309	-0.28504974056719773	-0.4340610748021045	-0.6152932033816945	-0.7090483207868119	-0.8575412101539877	-1.2690854861753922	-1.4416278293745528	-1.0076570768071078
