word, gender_class_00, gender_spectrum_00, gender_relevance_00
abstracter, 1, -1.1886686688682664, 7.0642043253068465
abstractor, 1, -1.1534743531735665, 7.0530246209169425
accessioner, 1, -0.8520668791560145, 6.568176167986694
accountant, 1, -0.3928387964175946, 8.730874433735929
acidizer, 1, -0.44581495516611025, 5.876717860558693
actuary, 1, -0.7825535431148437, 8.393153060910127
acupressurist, 1, -0.0032274386354974307, 7.093953872736485
acupuncturist, 1, -0.28460326633738187, 7.011217071384381
addresser, 1, -0.5552825358468106, 7.3292642859662624
adjuster, 1, -0.7340558419281872, 7.683827528882726
admeasurer, 2, 0.34848679125236326, 6.3141420337578165
administrator, 2, 0.1273166549189459, 8.344931837120768
advertiser, 1, -0.5063069430500367, 7.453309768114372
advisor, 1, -0.3855961732319654, 8.101931770892392
aerodynamicist, 1, -1.5597968717585946, 8.801373785472359
aerographer, 1, -0.7209308821457655, 8.845739204968222
aerologist, 1, -0.8693492518710811, 8.496990792105123
aerophysicist, 1, -0.6405416449073004, 8.414548764675793
aesthetician, 1, -1.2018774210670342, 7.010224054932907
afterschool, 2, 0.156336739412171, 7.590967189209092
agent, 1, -0.007126969509197749, 9.307141121257416
agriculturist, 1, -0.04224669441456544, 8.136365820052497
agronomist, 1, -0.5676661812367895, 8.267048951902524
aircrewman, 2, 0.7484720927971182, 8.520284893561822
algebraist, 1, -1.8214386500784023, 7.508987733879639
algologist, 1, -0.7795848154207123, 6.371913317615799
aligner, 1, -1.397308481167076, 7.842038255990573
allergist, 1, -1.105627104780493, 7.096278038222673
aluminizer, 1, -0.010979369506072164, 5.6603984531725455
amalgamator, 1, -0.02946128423985453, 7.956632152602423
anaesthesiologist, 1, -0.06555451077792168, 8.198493835767746
analyst, 1, -0.7430608873003922, 9.51080217926963
anchorer, 1, -1.0159033909893502, 7.722259118151772
anchorman, 1, -0.9809752530977562, 8.58793826719315
anesthesiologist, 1, -0.37353518405491765, 8.166428808584836
anesthetist, 1, -0.37884476567450376, 9.228111458871497
angiographer, 1, -0.3991927465368543, 7.1870110236709515
