id	occupation	fine-tuned-0-he	fine-tuned-0-she	fine-tuned-500-he	fine-tuned-500-she	fine-tuned-1000-he	fine-tuned-1000-she	fine-tuned-2000-he	fine-tuned-2000-she	fine-tuned-5000-he	fine-tuned-5000-she	fine-tuned-10000-he	fine-tuned-10000-she	fine-tuned-20000-he	fine-tuned-20000-she
0	abstracter	17.851325273513794	21.559338490168255	4.81978452205658	5.275301535924275	4.634097794691722	4.9125247200330096	4.807373881340027	4.678293526172638	4.112510045369466	4.055982768535614	4.56993556022644	4.442756672700246	5.063344260056813	4.879647970199585
1	abstractor	50.63162326812744	57.10141738255819	14.484659671783447	15.182985623677572	10.101506868998209	10.472496589024862	13.524521748224894	12.77314027150472	10.587027430534363	10.300247510274252	12.765889684359232	12.39583683013916	6.3025334278742475	6.124787092208862
2	accessioner	33.987797260284424	37.42090686162313	11.315081516901651	12.087915817896524	8.979258020718893	9.105046033859253	8.145644744237265	7.771799127260844	5.6994004646937055	5.5278836488723755	5.5464582443237305	5.3150725563367205	4.636811931927999	4.4676117698351545
3	accountant	4.141597926616669	5.182029167811076	2.733410100142161	3.0519166588783264	2.8898410201072693	3.0911927819252014	3.11671781539917	3.07517280181249	3.7726059556007385	3.7429738640785217	4.96231625477473	4.839155316352844	6.220321555932363	6.193568527698517
4	acidizer	43.008132775624595	55.39639846483866	11.638003706932068	12.980992873509726	8.358225107192993	8.86600104967753	5.644317348798116	5.511665503184001	5.572039286295573	5.532113273938497	4.420614004135132	4.275144159793854	4.384688178698222	4.205362180868785
5	actuary	3.558658262093862	3.2822173039118447	2.2044303019841514	2.2568338910738626	2.2213194767634072	2.2743345499038696	2.320846676826477	2.21396404504776	2.3864670793215432	2.3582547903060913	3.401894291241964	3.2808149258295694	3.0196137030919394	2.974089245001475
6	acupressurist	2.400028387705485	2.4073105454444885	1.8006099263827007	1.8388742605845134	1.8562232454617817	1.8855605324109395	1.7934258580207825	1.726295570532481	1.8483200470606487	1.8032491008440654	2.1354410449663797	2.072326680024465	1.9531826376914978	1.9145873387654622
7	acupuncturist	2.147738734881083	2.1327439546585083	1.6043447454770405	1.6504778067270915	1.569402277469635	1.605299452940623	1.632023016611735	1.5914734999338787	1.6628763675689697	1.6320097049077351	1.9232672254244487	1.8774040738741558	1.8330209056536357	1.8039472500483196
8	addresser	12.708810687065125	14.07755959033966	4.849077184995015	5.085888147354126	4.7735489209493	4.853312969207764	3.983484625816345	3.7897685766220093	4.506862839063008	4.387487431367238	5.68312527736028	5.446642339229584	4.060120085875194	3.926355461279551
9	adjuster	5.368768692016602	5.067527075608571	3.2272569139798484	3.2758291959762573	3.1564549009005227	3.187722086906433	3.273509681224823	3.0866626501083374	4.306844353675842	4.1541756590207415	4.7907143632570905	4.561220049858093	4.395468135674794	4.238250136375427
10	admeasurer	6.887407183647156	8.474601030349731	5.072572549184163	5.600173910458882	4.568758408228557	4.853665590286255	5.193632324536641	5.191526134808858	4.009588003158569	3.9840415716171265	2.855661372343699	2.8418768644332886	2.3080119490623474	2.265287141005198
11	administrator	7.647747317949931	7.521841088930766	4.106588880221049	4.230965654055278	4.429357528686523	4.51920900742213	4.089873433113098	3.902066926161448	3.503665586312612	3.409711500008901	6.361353000005086	6.042539894580841	5.251951555411021	5.1892953515052795
12	adon	31.185211658477783	37.26256116231283	10.465293963750204	11.380753119786581	10.604085326194763	11.11973770459493	10.885953704516092	10.664908528327942	7.506749312082927	7.439521670341492	8.524092674255371	8.387683431307474	4.31843634446462	4.217533568541209
13	advertiser	3.8458620508511863	4.008338272571564	2.220761517683665	2.3466171820958457	2.205502510070801	2.298234681288401	2.136362135410309	2.0811429023742676	2.122089982032776	2.098618229230245	2.699932595094045	2.6440301736195884	2.6561018029848733	2.5934373339017234
14	aemt	27.94790728886922	27.042874733606975	10.801985820134481	11.20704444249471	9.49243426322937	9.762718558311462	5.456526597340901	5.203266064325969	5.09747838973999	4.975349863370259	9.8415158589681	9.443849802017212	3.804268459479014	3.642503499984741
15	aerodynamicist	4.835301637649536	5.678114732106526	3.0991884668668113	3.3998278975486755	2.722255229949951	2.937054932117462	2.8355236252148948	2.79628453652064	3.113668223222097	3.1166876355806985	3.4079482158025107	3.344342529773712	3.0108025471369424	2.9787553350130715
16	aerographer	7.437128345171611	7.892399311065674	3.671569208304087	3.8775460521380105	2.9842745463053384	3.071614662806193	2.9518171548843384	2.804984907309214	3.8224504590034485	3.7941217025121055	4.2930522163709	4.185149987538655	3.6974706649780273	3.703925689061483
17	aerologist	8.501932183901468	10.916662375132242	4.353644649187724	4.795958360036214	3.1264816323916116	3.309738516807556	3.4852606654167175	3.41549942890803	3.5089449087778726	3.4461665948232016	3.898373087247213	3.7751189470291138	4.147933860619863	4.032306830088298
18	aerophysicist	4.86126987139384	5.565659721692403	2.7803019682566323	3.004141628742218	2.567432244618734	2.705775241057078	2.7042341232299805	2.6643590728441873	2.3562119007110596	2.3405157923698425	2.8028812408447266	2.7280462185541787	3.140702227751414	3.075350821018219
19	aesthetician	11.304222583770752	11.066503047943115	5.577625314394633	5.784137924512227	4.245878537495931	4.344468911488851	4.2138805985450745	4.010742266972859	3.128009796142578	3.065584580103556	3.911170264085134	3.797563910484314	3.3436012864112854	3.2628995776176453
20	afterschool	5.78405636548996	5.894816239674886	2.6696407993634543	2.720725357532501	2.3897879918416343	2.398135244846344	2.2775085965792337	2.163858493169149	2.3672035137812295	2.3052714665730796	2.7097171545028687	2.6444477836290994	2.7020098169644675	2.6317931016286216
