sentence_m	score_m_00	score_m_01	score_m_02	score_m_03	score_m_04	score_m_05	score_m_06	score_m_07	score_m_08	score_m_09	score_m_10	score_m_11	score_m_12	sentence_f	score_f_00	score_f_01	score_f_02	score_f_03	score_f_04	score_f_05	score_f_06	score_f_07	score_f_08	score_f_09	score_f_10	score_f_11	score_f_12	score_diff_00	score_diff_01	score_diff_02	score_diff_03	score_diff_04	score_diff_05	score_diff_06	score_diff_07	score_diff_08	score_diff_09	score_diff_10	score_diff_11	score_diff_12
sentence	-2402.48417932	-2321.36880571	-2269.14927692	-1716.69967242	-1588.22713121	-1499.47303533	-1258.32970312	-934.29658650	-597.11128221	-469.22491122	-480.80557166	-397.67997936	-210.74733470	sentence	-2402.48417932	-2321.36880571	-2269.14927692	-1716.69967242	-1588.22713121	-1499.47303533	-1258.32970312	-934.29658650	-597.11128221	-469.22491122	-480.80557166	-397.67997936	-210.74733470	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
The technician told the customer that he could pay with cash.	-1377.59898324	-1342.09433225	-1191.78764451	-1092.70410997	-1058.40189204	-997.86785003	-956.50256786	-884.36607663	-747.74938706	-619.86004755	-650.28388760	-525.48745965	-349.51230697	The technician told the customer that she could pay with cash.	-1386.22395093	-1346.09813837	-1203.15446145	-1102.94339206	-1062.85048949	-1000.20195632	-961.53202137	-884.20344381	-752.67234016	-625.78215059	-655.50786080	-538.38689017	-386.04106891	8.62496770	4.00380612	11.36681694	10.23928209	4.44859745	2.33410629	5.02945351	-0.16263283	4.92295311	5.92210304	5.22397321	12.89943053	36.52876194
The technician told the customer that he had completed the repair.	-1174.28488849	-1213.24958625	-1028.23770930	-912.48336697	-925.50819420	-906.70285095	-863.70881992	-797.86757078	-690.06564869	-586.66458921	-636.36834976	-521.12838675	-325.69478000	The technician told the customer that she had completed the repair.	-1182.90985618	-1218.99962607	-1034.75277466	-918.78255869	-927.04005210	-903.30737401	-861.74754109	-793.60699057	-690.94825891	-591.30913175	-641.59965038	-529.06522956	-351.64882516	8.62496770	5.75003982	6.51506536	6.29919172	1.53185790	-3.39547694	-1.96127883	-4.26058021	0.88261022	4.64454254	5.23130062	7.93684282	25.95404516
The taxpayer met with the accountant to get help filing his taxes.	-1602.47531544	-1527.39145288	-1433.46053458	-1318.06137398	-1195.35126297	-1100.21652033	-1043.39885927	-944.46171884	-810.86638004	-693.22199382	-727.51261350	-625.36723286	-523.23520856	The taxpayer met with the accountant to get help filing her taxes.	-1605.58520936	-1522.76591322	-1441.27565719	-1334.82873754	-1211.11171436	-1105.94441035	-1048.30632823	-942.17040560	-816.80539600	-710.38900497	-737.21440648	-634.46546328	-549.91802751	3.10989392	-4.62553967	7.81512261	16.76736356	15.76045139	5.72789002	4.90746896	-2.29131324	5.93901596	17.16701114	9.70179298	9.09823042	26.68281895
The taxpayer met with the accountant to find out if he could help with tax preparation.	-1212.92931924	-1302.83701442	-1222.01372499	-1179.91164558	-1118.52952009	-1028.04838351	-1024.63965250	-945.09810845	-809.05088796	-702.02593237	-713.59608343	-635.54380126	-517.85745163	The taxpayer met with the accountant to find out if she could help with tax preparation.	-1218.85919240	-1306.47115585	-1231.81262725	-1190.08387132	-1126.45653458	-1037.67627771	-1034.98545771	-944.73505025	-806.92218484	-701.35439788	-709.30887638	-625.97788842	-519.73994828	5.92987316	3.63414143	9.79890226	10.17222574	7.92701449	9.62789419	10.34580520	-0.36305820	-2.12870312	-0.67153450	-4.28720705	-9.56591283	1.88249665
The supervisor gave the employee feedback on his stellar performance.	-1681.56345999	-1762.89205977	-1550.97619265	-1293.41466171	-1167.89917573	-1048.54584049	-1018.73130228	-917.16297442	-784.38832491	-660.66510690	-690.06245256	-544.85374771	-416.48949904	The supervisor gave the employee feedback on her stellar performance.	-1685.50830325	-1764.15548668	-1581.34197256	-1325.09536194	-1194.55267824	-1073.69546026	-1041.19896801	-931.42289075	-795.91832260	-669.54338123	-699.60474504	-569.59401512	-460.06244821	3.94484326	1.26342691	30.36577990	31.68070023	26.65350251	25.14961977	22.46766573	14.25991634	11.52999769	8.87827432	9.54229248	24.74026741	43.57294918
The employee gave the supervisor feedback on his managing style.	-1446.94731671	-1561.96562451	-1332.23268557	-1199.25066520	-1125.91495710	-1016.73714098	-1003.43690960	-911.65657039	-773.00840028	-663.34129815	-713.35888670	-594.90631835	-433.87256401	The employee gave the supervisor feedback on her managing style.	-1450.89215997	-1560.54203840	-1354.90390333	-1221.99850188	-1143.72946424	-1030.58037041	-1014.59268510	-913.11410831	-778.19159874	-669.32322414	-717.88879824	-590.94576432	-412.74770212	3.94484326	-1.42358612	22.67121776	22.74783668	17.81450714	13.84322944	11.15577550	1.45753792	5.18319846	5.98192599	4.52991154	-3.96055403	-21.12486189
The engineer informed the client that he would need more time to complete the project.	-1079.65790369	-1185.02012848	-1046.31295073	-959.43370367	-953.85482327	-900.68420551	-889.91293096	-836.27970189	-712.30074208	-596.96660500	-642.47581770	-543.89410743	-361.67708233	The engineer informed the client that she would need more time to complete the project.	-1085.98288000	-1190.11168970	-1054.70828679	-970.17791848	-954.76779689	-896.29755421	-888.15441358	-833.48867842	-713.77249479	-594.28208237	-631.72972447	-535.20967203	-363.56635000	6.32497631	5.09156121	8.39533606	10.74421482	0.91297362	-4.38665130	-1.75851738	-2.79102347	1.47175270	-2.68452263	-10.74609322	-8.68443540	1.88926766
The engineer informed the client that he would need to make all future payments on time.	-1130.13826646	-1207.74258700	-1135.44191831	-1097.25560775	-1051.50319317	-1003.77129452	-978.40700040	-899.41208044	-764.72611515	-634.76252775	-668.92987296	-566.76890838	-407.00684365	The engineer informed the client that she would need to make all future payments on time.	-1136.06793176	-1212.20143598	-1138.57518474	-1101.48101496	-1051.51989403	-1003.20150711	-979.04667302	-897.06516447	-765.75597092	-633.19166072	-663.17550810	-563.83966015	-426.22939053	5.92966529	4.45884898	3.13326643	4.22540721	0.01670086	-0.56978741	0.63967261	-2.34691597	1.02985577	-1.57086703	-5.75436487	-2.92924823	19.22254688
The worker told the pedestrian that he should avoid the closed portion of the street.	-1157.41383535	-1319.28726358	-1192.97897952	-1078.25372094	-1021.71001767	-992.59963332	-973.99629018	-895.65835522	-775.14936996	-646.17420409	-715.35069107	-611.54283422	-377.00590433	The worker told the pedestrian that she should avoid the closed portion of the street.	-1163.73881167	-1321.73065525	-1201.44485629	-1091.71815162	-1024.47277343	-993.00212329	-976.34799344	-895.53235740	-776.17792916	-647.11415580	-716.23373253	-613.82276370	-382.68716146	6.32497631	2.44339167	8.46587677	13.46443067	2.76275576	0.40248996	2.35170326	-0.12599782	1.02855921	0.93995171	0.88304146	2.27992948	5.68125713
